"ID";"Track";"StartTime";"Length";"PlayRate";"Locked";"Normalized";"StretchMethod";"Looped";"OnRuler";"MediaType";"FileName";"Stream";"StreamStart";"StreamLength";"FadeTimeIn";"FadeTimeOut";"SustainGain";"CurveIn";"GainIn";"CurveOut";"GainOut";"Layer";"Color";"CurveInR";"CurveOutR";"PlayPitch";"LockPitch";"FirstChannel";"Channels"
27; 0; 1067299.5666; 231598.0334; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 1067299.5666; 231598.0334; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
28; 0; 1298897.6000; 19419.4000; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 1298897.6000; 19419.4000; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
29; 0; 1318317.0000; 5989.3166; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 1318317.0000; 5989.3166; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
30; 0; 1324306.3166; 159309.1500; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 1324306.3166; 159309.1500; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
31; 2; 0.0000; 100250.1500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_11_1_CDROM_Speed.mp4"; 0; 1060275.8833; 100250.1500; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
32; 2; 100250.1500; 17884.5333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 0.0000; 17884.5333; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
33; 2; 118134.6833; 96212.7833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\CD2\MAIN_2_.mp4"; 0; 118118.0000; 96212.7833; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
34; 2; 214347.4666; 5138.4667; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\CD2\MAIN_2_.mp4"; 0; 214330.7833; 1269269.2167; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
35; 2; 219485.9333; 10744.0667; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 6523.1833; 10744.0667; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
36; 2; 230230.0000; 6756.7500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 30580.5500; 6756.7500; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
37; 2; 236986.7500; 5805.8000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 24691.3333; 5805.8000; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
38; 2; 242558.9833; 4587.9167; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\CD2\MAIN_2_.mp4"; 0; 215765.5499; 4587.9167; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
39; 2; 247146.9000; 16816.8000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 37370.6667; 16816.8000; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
40; 2; 263963.7000; 89389.3000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 130763.9666; 89389.3000; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
41; 2; 353353.0000; 34801.4334; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_05_1_CDROM_Speed.mp4"; 0; 220703.8166; 34801.4334; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
42; 2; 388154.4333; 122489.0333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 350.3500; 122489.0333; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
43; 2; 510643.4666; 17517.5000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 122989.5333; 462128.3333; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
44; 2; 528160.9666; 29946.5834; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 216866.6500; 29946.5834; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
45; 2; 558107.5500; 4320.9833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\CD2\MAIN_2_.mp4"; 0; 215765.5499; 4320.9833; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
46; 2; 562428.5333; 75825.7500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 140757.2833; 75825.7500; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
47; 2; 638254.2833; 24374.3500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 247113.5333; 24374.3500; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
48; 2; 662628.6333; 45261.8833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 272672.4000; 45261.8833; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
49; 2; 707890.5166; 25725.7000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\Borg\DVD\mp4\VTS_06_1_CDROM_Speed.mp4"; 0; 318484.8333; 266633.0333; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
